source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:CC,GO:0005576,extracellular region,5.362972606445168e-15,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",788,71,29,12235,0.4084507042253521,0.03680203045685279,query_1,['GO:0110165'],"['ENSDARG00000061383', 'ENSDARG00000092170', 'ENSDARG00000102004', 'ENSDARG00000020866', 'ENSDARG00000043342', 'ENSDARG00000043719', 'ENSDARG00000055240', 'ENSDARG00000034862', 'ENSDARG00000089310', 'ENSDARG00000100782', 'ENSDARG00000012694', 'ENSDARG00000058053', 'ENSDARG00000057498', 'ENSDARG00000102175', 'ENSDARG00000053973', 'ENSDARG00000041685', 'ENSDARG00000093068', 'ENSDARG00000016771', 'ENSDARG00000092155', 'ENSDARG00000030872', 'ENSDARG00000016412', 'ENSDARG00000040777', 'ENSDARG00000097285', 'ENSDARG00000055705', 'ENSDARG00000001818', 'ENSDARG00000021004', 'ENSDARG00000029388', 'ENSDARG00000052207', 'ENSDARG00000019772']","[['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IEA']]"
GO:CC,GO:0005615,extracellular space,5.362972606445168e-15,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",285,71,20,12235,0.28169014084507044,0.07017543859649122,query_1,"['GO:0005576', 'GO:0110165']","['ENSDARG00000061383', 'ENSDARG00000092170', 'ENSDARG00000043719', 'ENSDARG00000055240', 'ENSDARG00000089310', 'ENSDARG00000012694', 'ENSDARG00000058053', 'ENSDARG00000057498', 'ENSDARG00000053973', 'ENSDARG00000041685', 'ENSDARG00000093068', 'ENSDARG00000016771', 'ENSDARG00000092155', 'ENSDARG00000030872', 'ENSDARG00000016412', 'ENSDARG00000097285', 'ENSDARG00000001818', 'ENSDARG00000021004', 'ENSDARG00000029388', 'ENSDARG00000052207']","[['IEA'], ['IBA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IBA'], ['IEA']]"
GO:MF,GO:0004866,endopeptidase inhibitor activity,2.4441263657080413e-11,True,"""Binds to and stops, prevents or reduces the activity of an endopeptidase."" [GOC:jl]",140,129,14,21077,0.10852713178294573,0.1,query_1,"['GO:0030414', 'GO:0061135']","['ENSDARG00000061383', 'ENSDARG00000043719', 'ENSDARG00000012694', 'ENSDARG00000058053', 'ENSDARG00000045516', 'ENSDARG00000053973', 'ENSDARG00000041685', 'ENSDARG00000026764', 'ENSDARG00000093068', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000001818', 'ENSDARG00000021004', 'ENSDARG00000052207']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:MF,GO:0061135,endopeptidase regulator activity,2.4441263657080413e-11,True,"""Binds to and modulates the activity of a peptidase, any enzyme that hydrolyzes nonterminal peptide bonds in polypeptides."" [GOC:dph, GOC:tb]",140,129,14,21077,0.10852713178294573,0.1,query_1,['GO:0061134'],"['ENSDARG00000061383', 'ENSDARG00000043719', 'ENSDARG00000012694', 'ENSDARG00000058053', 'ENSDARG00000045516', 'ENSDARG00000053973', 'ENSDARG00000041685', 'ENSDARG00000026764', 'ENSDARG00000093068', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000001818', 'ENSDARG00000021004', 'ENSDARG00000052207']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:MF,GO:0030414,peptidase inhibitor activity,4.259389457557119e-11,True,"""Binds to and stops, prevents or reduces the activity of a peptidase, any enzyme that catalyzes the hydrolysis peptide bonds."" [GOC:jl]",150,129,14,21077,0.10852713178294573,0.09333333333333334,query_1,"['GO:0004857', 'GO:0061134']","['ENSDARG00000061383', 'ENSDARG00000043719', 'ENSDARG00000012694', 'ENSDARG00000058053', 'ENSDARG00000045516', 'ENSDARG00000053973', 'ENSDARG00000041685', 'ENSDARG00000026764', 'ENSDARG00000093068', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000001818', 'ENSDARG00000021004', 'ENSDARG00000052207']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:MF,GO:0061134,peptidase regulator activity,5.49916997929592e-11,True,"""Binds to and modulates the activity of a peptidase, any enzyme that catalyzes the hydrolysis peptide bonds."" [GOC:dph, GOC:tb]",156,129,14,21077,0.10852713178294573,0.08974358974358974,query_1,['GO:0030234'],"['ENSDARG00000061383', 'ENSDARG00000043719', 'ENSDARG00000012694', 'ENSDARG00000058053', 'ENSDARG00000045516', 'ENSDARG00000053973', 'ENSDARG00000041685', 'ENSDARG00000026764', 'ENSDARG00000093068', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000001818', 'ENSDARG00000021004', 'ENSDARG00000052207']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:MF,GO:0004857,enzyme inhibitor activity,6.156659232233235e-11,True,"""A molecular function regulator that reduces a catalytic activity."" [GOC:ai, GOC:ebc]",195,129,15,21077,0.11627906976744186,0.07692307692307693,query_1,"['GO:0030234', 'GO:0140678']","['ENSDARG00000061383', 'ENSDARG00000092170', 'ENSDARG00000043719', 'ENSDARG00000012694', 'ENSDARG00000058053', 'ENSDARG00000045516', 'ENSDARG00000053973', 'ENSDARG00000041685', 'ENSDARG00000026764', 'ENSDARG00000093068', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000001818', 'ENSDARG00000021004', 'ENSDARG00000052207']","[['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:MF,GO:0140678,molecular function inhibitor activity,9.884911222875903e-11,True,"""A molecular function regulator that inhibits or decreases the activity of its target via non-covalent binding that does not result in covalent modification to the target."" [GOC:curators]",204,129,15,21077,0.11627906976744186,0.07352941176470588,query_1,['GO:0098772'],"['ENSDARG00000061383', 'ENSDARG00000092170', 'ENSDARG00000043719', 'ENSDARG00000012694', 'ENSDARG00000058053', 'ENSDARG00000045516', 'ENSDARG00000053973', 'ENSDARG00000041685', 'ENSDARG00000026764', 'ENSDARG00000093068', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000001818', 'ENSDARG00000021004', 'ENSDARG00000052207']","[['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0006869,lipid transport,5.579393797664019e-07,True,"""The directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Lipids are compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."" [ISBN:0198506732]",163,85,11,14996,0.12941176470588237,0.06748466257668712,query_1,"['GO:0006810', 'GO:0010876']","['ENSDARG00000092170', 'ENSDARG00000104450', 'ENSDARG00000102004', 'ENSDARG00000020866', 'ENSDARG00000009153', 'ENSDARG00000078132', 'ENSDARG00000092155', 'ENSDARG00000030872', 'ENSDARG00000042780', 'ENSDARG00000075016', 'ENSDARG00000060345']","[['IBA', 'IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0010876,lipid localization,5.579393797664019e-07,True,"""Any process in which a lipid is transported to, or maintained in, a specific location."" [GOC:BHF, GOC:dph, GOC:tb]",164,85,11,14996,0.12941176470588237,0.06707317073170732,query_1,['GO:0033036'],"['ENSDARG00000092170', 'ENSDARG00000104450', 'ENSDARG00000102004', 'ENSDARG00000020866', 'ENSDARG00000009153', 'ENSDARG00000078132', 'ENSDARG00000092155', 'ENSDARG00000030872', 'ENSDARG00000042780', 'ENSDARG00000075016', 'ENSDARG00000060345']","[['IBA', 'IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
