source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:CC,GO:0005576,extracellular region,3.7441139094001e-36,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",788,130,61,12235,0.46923076923076923,0.07741116751269035,query_1,['GO:0110165'],"['ENSDARG00000101324', 'ENSDARG00000016771', 'ENSDARG00000092170', 'ENSDARG00000020741', 'ENSDARG00000012694', 'ENSDARG00000008969', 'ENSDARG00000053973', 'ENSDARG00000090850', 'ENSDARG00000058476', 'ENSDARG00000090286', 'ENSDARG00000076853', 'ENSDARG00000092155', 'ENSDARG00000043719', 'ENSDARG00000021339', 'ENSDARG00000069293', 'ENSDARG00000087359', 'ENSDARG00000058053', 'ENSDARG00000041645', 'ENSDARG00000055278', 'ENSDARG00000052948', 'ENSDARG00000061383', 'ENSDARG00000021004', 'ENSDARG00000055705', 'ENSDARG00000012076', 'ENSDARG00000043342', 'ENSDARG00000052207', 'ENSDARG00000076448', 'ENSDARG00000015662', 'ENSDARG00000089310', 'ENSDARG00000057498', 'ENSDARG00000019772', 'ENSDARG00000016412', 'ENSDARG00000075827', 'ENSDARG00000040298', 'ENSDARG00000093193', 'ENSDARG00000030872', 'ENSDARG00000029388', 'ENSDARG00000005842', 'ENSDARG00000034862', 'ENSDARG00000093068', 'ENSDARG00000097285', 'ENSDARG00000001818', 'ENSDARG00000041685', 'ENSDARG00000100782', 'ENSDARG00000055240', 'ENSDARG00000093198', 'ENSDARG00000075163', 'ENSDARG00000091609', 'ENSDARG00000020866', 'ENSDARG00000102175', 'ENSDARG00000079443', 'ENSDARG00000102004', 'ENSDARG00000078757', 'ENSDARG00000096586', 'ENSDARG00000094408', 'ENSDARG00000031649', 'ENSDARG00000105976', 'ENSDARG00000116259', 'ENSDARG00000070918', 'ENSDARG00000095590', 'ENSDARG00000094929']","[['IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IBA'], ['IBA', 'IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA'], ['IBA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IBA'], ['IEA'], ['IEA']]"
GO:MF,GO:0004866,endopeptidase inhibitor activity,1.3680618117126846e-29,True,"""Binds to and stops, prevents or reduces the activity of an endopeptidase."" [GOC:jl]",140,255,32,21077,0.12549019607843137,0.22857142857142856,query_1,"['GO:0030414', 'GO:0061135']","['ENSDARG00000012694', 'ENSDARG00000053973', 'ENSDARG00000090850', 'ENSDARG00000090286', 'ENSDARG00000026764', 'ENSDARG00000045516', 'ENSDARG00000043719', 'ENSDARG00000069293', 'ENSDARG00000087359', 'ENSDARG00000058053', 'ENSDARG00000055036', 'ENSDARG00000004296', 'ENSDARG00000041645', 'ENSDARG00000061383', 'ENSDARG00000021004', 'ENSDARG00000052207', 'ENSDARG00000076448', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000093068', 'ENSDARG00000001818', 'ENSDARG00000041685', 'ENSDARG00000117107', 'ENSDARG00000093198', 'ENSDARG00000091609', 'ENSDARG00000102617', 'ENSDARG00000100051', 'ENSDARG00000099811', 'ENSDARG00000102868', 'ENSDARG00000103833', 'ENSDARG00000078757', 'ENSDARG00000070918']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA']]"
GO:MF,GO:0061135,endopeptidase regulator activity,1.3680618117126846e-29,True,"""Binds to and modulates the activity of a peptidase, any enzyme that hydrolyzes nonterminal peptide bonds in polypeptides."" [GOC:dph, GOC:tb]",140,255,32,21077,0.12549019607843137,0.22857142857142856,query_1,['GO:0061134'],"['ENSDARG00000012694', 'ENSDARG00000053973', 'ENSDARG00000090850', 'ENSDARG00000090286', 'ENSDARG00000026764', 'ENSDARG00000045516', 'ENSDARG00000043719', 'ENSDARG00000069293', 'ENSDARG00000087359', 'ENSDARG00000058053', 'ENSDARG00000055036', 'ENSDARG00000004296', 'ENSDARG00000041645', 'ENSDARG00000061383', 'ENSDARG00000021004', 'ENSDARG00000052207', 'ENSDARG00000076448', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000093068', 'ENSDARG00000001818', 'ENSDARG00000041685', 'ENSDARG00000117107', 'ENSDARG00000093198', 'ENSDARG00000091609', 'ENSDARG00000102617', 'ENSDARG00000100051', 'ENSDARG00000099811', 'ENSDARG00000102868', 'ENSDARG00000103833', 'ENSDARG00000078757', 'ENSDARG00000070918']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA']]"
GO:MF,GO:0030414,peptidase inhibitor activity,9.86712752085091e-29,True,"""Binds to and stops, prevents or reduces the activity of a peptidase, any enzyme that catalyzes the hydrolysis peptide bonds."" [GOC:jl]",150,255,32,21077,0.12549019607843137,0.21333333333333335,query_1,"['GO:0004857', 'GO:0061134']","['ENSDARG00000012694', 'ENSDARG00000053973', 'ENSDARG00000090850', 'ENSDARG00000090286', 'ENSDARG00000026764', 'ENSDARG00000045516', 'ENSDARG00000043719', 'ENSDARG00000069293', 'ENSDARG00000087359', 'ENSDARG00000058053', 'ENSDARG00000055036', 'ENSDARG00000004296', 'ENSDARG00000041645', 'ENSDARG00000061383', 'ENSDARG00000021004', 'ENSDARG00000052207', 'ENSDARG00000076448', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000093068', 'ENSDARG00000001818', 'ENSDARG00000041685', 'ENSDARG00000117107', 'ENSDARG00000093198', 'ENSDARG00000091609', 'ENSDARG00000102617', 'ENSDARG00000100051', 'ENSDARG00000099811', 'ENSDARG00000102868', 'ENSDARG00000103833', 'ENSDARG00000078757', 'ENSDARG00000070918']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA']]"
GO:MF,GO:0061134,peptidase regulator activity,2.828192700356596e-28,True,"""Binds to and modulates the activity of a peptidase, any enzyme that catalyzes the hydrolysis peptide bonds."" [GOC:dph, GOC:tb]",156,255,32,21077,0.12549019607843137,0.20512820512820512,query_1,['GO:0030234'],"['ENSDARG00000012694', 'ENSDARG00000053973', 'ENSDARG00000090850', 'ENSDARG00000090286', 'ENSDARG00000026764', 'ENSDARG00000045516', 'ENSDARG00000043719', 'ENSDARG00000069293', 'ENSDARG00000087359', 'ENSDARG00000058053', 'ENSDARG00000055036', 'ENSDARG00000004296', 'ENSDARG00000041645', 'ENSDARG00000061383', 'ENSDARG00000021004', 'ENSDARG00000052207', 'ENSDARG00000076448', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000093068', 'ENSDARG00000001818', 'ENSDARG00000041685', 'ENSDARG00000117107', 'ENSDARG00000093198', 'ENSDARG00000091609', 'ENSDARG00000102617', 'ENSDARG00000100051', 'ENSDARG00000099811', 'ENSDARG00000102868', 'ENSDARG00000103833', 'ENSDARG00000078757', 'ENSDARG00000070918']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA']]"
GO:MF,GO:0004857,enzyme inhibitor activity,2.0929052022859765e-26,True,"""A molecular function regulator that reduces a catalytic activity."" [GOC:ai, GOC:ebc]",195,255,33,21077,0.12941176470588237,0.16923076923076924,query_1,"['GO:0030234', 'GO:0140678']","['ENSDARG00000092170', 'ENSDARG00000012694', 'ENSDARG00000053973', 'ENSDARG00000090850', 'ENSDARG00000090286', 'ENSDARG00000026764', 'ENSDARG00000045516', 'ENSDARG00000043719', 'ENSDARG00000069293', 'ENSDARG00000087359', 'ENSDARG00000058053', 'ENSDARG00000055036', 'ENSDARG00000004296', 'ENSDARG00000041645', 'ENSDARG00000061383', 'ENSDARG00000021004', 'ENSDARG00000052207', 'ENSDARG00000076448', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000093068', 'ENSDARG00000001818', 'ENSDARG00000041685', 'ENSDARG00000117107', 'ENSDARG00000093198', 'ENSDARG00000091609', 'ENSDARG00000102617', 'ENSDARG00000100051', 'ENSDARG00000099811', 'ENSDARG00000102868', 'ENSDARG00000103833', 'ENSDARG00000078757', 'ENSDARG00000070918']","[['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA']]"
GO:CC,GO:0005615,extracellular space,5.291735801039251e-26,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",285,130,35,12235,0.2692307692307692,0.12280701754385964,query_1,"['GO:0005576', 'GO:0110165']","['ENSDARG00000016771', 'ENSDARG00000092170', 'ENSDARG00000020741', 'ENSDARG00000012694', 'ENSDARG00000008969', 'ENSDARG00000053973', 'ENSDARG00000090850', 'ENSDARG00000058476', 'ENSDARG00000090286', 'ENSDARG00000076853', 'ENSDARG00000092155', 'ENSDARG00000043719', 'ENSDARG00000021339', 'ENSDARG00000069293', 'ENSDARG00000087359', 'ENSDARG00000058053', 'ENSDARG00000041645', 'ENSDARG00000061383', 'ENSDARG00000021004', 'ENSDARG00000052207', 'ENSDARG00000076448', 'ENSDARG00000089310', 'ENSDARG00000057498', 'ENSDARG00000016412', 'ENSDARG00000030872', 'ENSDARG00000029388', 'ENSDARG00000093068', 'ENSDARG00000097285', 'ENSDARG00000001818', 'ENSDARG00000041685', 'ENSDARG00000055240', 'ENSDARG00000093198', 'ENSDARG00000078757', 'ENSDARG00000096586', 'ENSDARG00000094408']","[['IBA', 'IEA'], ['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IBA'], ['IBA', 'IEA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IBA'], ['IEA'], ['IEA'], ['IBA'], ['IBA']]"
GO:MF,GO:0140678,molecular function inhibitor activity,8.054835380408043e-26,True,"""A molecular function regulator that inhibits or decreases the activity of its target via non-covalent binding that does not result in covalent modification to the target."" [GOC:curators]",204,255,33,21077,0.12941176470588237,0.16176470588235295,query_1,['GO:0098772'],"['ENSDARG00000092170', 'ENSDARG00000012694', 'ENSDARG00000053973', 'ENSDARG00000090850', 'ENSDARG00000090286', 'ENSDARG00000026764', 'ENSDARG00000045516', 'ENSDARG00000043719', 'ENSDARG00000069293', 'ENSDARG00000087359', 'ENSDARG00000058053', 'ENSDARG00000055036', 'ENSDARG00000004296', 'ENSDARG00000041645', 'ENSDARG00000061383', 'ENSDARG00000021004', 'ENSDARG00000052207', 'ENSDARG00000076448', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000093068', 'ENSDARG00000001818', 'ENSDARG00000041685', 'ENSDARG00000117107', 'ENSDARG00000093198', 'ENSDARG00000091609', 'ENSDARG00000102617', 'ENSDARG00000100051', 'ENSDARG00000099811', 'ENSDARG00000102868', 'ENSDARG00000103833', 'ENSDARG00000078757', 'ENSDARG00000070918']","[['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA']]"
GO:MF,GO:0030234,enzyme regulator activity,8.207172256299104e-12,True,"""A molecular function regulator that modulates a catalytic activity."" [GOC:pdt]",692,255,36,21077,0.1411764705882353,0.05202312138728324,query_1,['GO:0098772'],"['ENSDARG00000092170', 'ENSDARG00000012694', 'ENSDARG00000053973', 'ENSDARG00000090850', 'ENSDARG00000090286', 'ENSDARG00000026764', 'ENSDARG00000092155', 'ENSDARG00000045516', 'ENSDARG00000043719', 'ENSDARG00000069293', 'ENSDARG00000087359', 'ENSDARG00000058053', 'ENSDARG00000055036', 'ENSDARG00000004296', 'ENSDARG00000041645', 'ENSDARG00000061383', 'ENSDARG00000021004', 'ENSDARG00000052207', 'ENSDARG00000076448', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000093068', 'ENSDARG00000098645', 'ENSDARG00000001818', 'ENSDARG00000041685', 'ENSDARG00000117107', 'ENSDARG00000093198', 'ENSDARG00000091609', 'ENSDARG00000102617', 'ENSDARG00000088972', 'ENSDARG00000100051', 'ENSDARG00000099811', 'ENSDARG00000102868', 'ENSDARG00000103833', 'ENSDARG00000078757', 'ENSDARG00000070918']","[['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA']]"
GO:MF,GO:0004867,serine-type endopeptidase inhibitor activity,8.997030855735534e-12,True,"""Binds to and stops, prevents or reduces the activity of a serine-type endopeptidase."" [GOC:ai]",89,255,15,21077,0.058823529411764705,0.16853932584269662,query_1,['GO:0004866'],"['ENSDARG00000090850', 'ENSDARG00000090286', 'ENSDARG00000045516', 'ENSDARG00000058053', 'ENSDARG00000055036', 'ENSDARG00000004296', 'ENSDARG00000061383', 'ENSDARG00000076448', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000091609', 'ENSDARG00000100051', 'ENSDARG00000099811', 'ENSDARG00000102868', 'ENSDARG00000103833']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
